"peak","gene.name"
"2565","chr1_53412937_53414068","SCP2"
"2566","chr1_53485470_53485854","SCP2"
"2567","chr1_53562419_53562502","SLC1A7"
"2568","chr1_53575181_53575449","SLC1A7"
"2569","chr1_53582069_53582692","SLC1A7"
"2570","chr1_53585083_53585662","SLC1A7"
"2571","chr1_53600418_53600910","SLC1A7"
"2572","chr1_53738689_53739589","LRP8"
"2573","chr1_53765705_53766093","LRP8"
"2574","chr1_53889081_53890891","SLC25A3P1"
"2575","chr1_53892593_53893569","SLC25A3P1"
"2576","chr1_53981983_53982781","GLIS1"
"2577","chr1_53986426_53986844","GLIS1"
"2578","chr1_54047408_54047904","GLIS1"
"2579","chr1_54051926_54054948","GLIS1"
"2580","chr1_54069835_54070543","GLIS1"
"2581","chr1_54081601_54082048","GLIS1"
"2582","chr1_54095667_54096735","GLIS1"
"2583","chr1_54121502_54122260","GLIS1"
"2584","chr1_54199126_54200971","GLIS1"
"2585","chr1_54230716_54231454","NDC1"
"2586","chr1_54238264_54239052","NDC1"
"2587","chr1_54263837_54263974","NDC1"
"2588","chr1_54272969_54273283","NDC1"
"2589","chr1_54280517_54281017","NDC1"
"2590","chr1_54282528_54283756","NDC1"
"2591","chr1_54284739_54288213","NDC1"
"2592","chr1_54289341_54290117","NDC1"
"2593","chr1_54290658_54291324","NDC1"
"2594","chr1_54297862_54298797","NDC1"
"2595","chr1_54301615_54302008","NDC1"
"2596","chr1_54302555_54303880","NDC1"
"2597","chr1_54337987_54338147","YIPF1"
"2598","chr1_54355882_54357472","YIPF1"
"2599","chr1_54372918_54373478","DIO1"
"2600","chr1_54376424_54376924","DIO1"
"2601","chr1_54403679_54410205","HSPB11"
"2602","chr1_54413286_54413801","HSPB11"
"2603","chr1_54417219_54417663","LRRC42"
"2604","chr1_54473942_54478741","LDLRAD1"
"2605","chr1_54479259_54482236","LDLRAD1"
"2606","chr1_54484899_54490866","LDLRAD1"
"2607","chr1_54498759_54500200","TMEM59"
"2608","chr1_54541820_54543324","TCEANC2"
"2609","chr1_54546871_54548278","TCEANC2"
"2610","chr1_54567974_54568372","TCEANC2"
"2611","chr1_54604518_54604991","CDCP2"
"2612","chr1_54615937_54616318","CDCP2"
"2613","chr1_54652179_54652498","RP11-446E24.4"
"2614","chr1_54671985_54672495","MRPL37"
"2615","chr1_54681451_54681681","MRPL37"
"2616","chr1_54714957_54716637","SSBP3"
"2617","chr1_54763656_54765949","SSBP3"
"2618","chr1_54767615_54767849","SSBP3"
"2619","chr1_54798939_54799764","SSBP3"
"2620","chr1_54800465_54802030","SSBP3"
"2621","chr1_54804676_54805090","SSBP3"
"2622","chr1_54807112_54807856","SSBP3"
"2623","chr1_54810385_54810900","SSBP3"
"2624","chr1_54886026_54888137","RP4-705F19.1"
"2625","chr1_55022017_55022478","ACOT11"
"2626","chr1_55127840_55129663","MROH7-TTC4"
"2627","chr1_55138707_55139305","MROH7-TTC4"
"2628","chr1_55140447_55141116","MROH7-TTC4"
"2629","chr1_55147525_55147900","MROH7-TTC4"
"2630","chr1_55150827_55152080","MROH7-TTC4"
"2631","chr1_55155524_55155906","MROH7-TTC4"
"2632","chr1_55194673_55196106","MROH7-TTC4"
"2633","chr1_55200814_55201103","MROH7-TTC4"
"2634","chr1_55257756_55258776","TTC22"
"2635","chr1_55259901_55260742","TTC22"
"2636","chr1_55277167_55278164","C1orf177"
"2637","chr1_55288172_55288674","C1orf177"
"2638","chr1_55641200_55641544","USP24"
"2639","chr1_56329013_56329209","RP11-90C4.1"
"2640","chr1_56330035_56330858","RP11-90C4.1"
"2641","chr1_57986505_57986782","DAB1"
"2642","chr1_58324558_58324971","DAB1"
"2643","chr1_58392055_58392628","DAB1"
"2644","chr1_58497606_58497790","DAB1"
"2645","chr1_58515774_58516401","DAB1"
"2646","chr1_58531788_58532285","DAB1"
"2647","chr1_58544999_58547489","DAB1"
"2648","chr1_58548344_58548782","DAB1"
"2649","chr1_58573770_58574096","DAB1"
"2650","chr1_58575940_58577724","DAB1"
"2651","chr1_58583452_58584970","DAB1"
"2652","chr1_58598014_58598382","DAB1"
"2653","chr1_58618150_58619013","DAB1"
"2654","chr1_58621164_58621895","DAB1"
"2655","chr1_58649752_58649983","DAB1"
"2656","chr1_58652519_58652991","DAB1"
"2657","chr1_58670142_58670636","DAB1"
"2658","chr1_58698763_58700752","DAB1"
"2659","chr1_58710732_58711071","DAB1"
"2660","chr1_58717939_58718926","DAB1"
"2661","chr1_58738666_58740445","DAB1"
"2662","chr1_58754628_58756004","DAB1"
"2663","chr1_58769268_58769574","DAB1"
"2664","chr1_58773263_58774385","DAB1"
"2665","chr1_58777205_58787295","DAB1"
"2666","chr1_58805977_58806546","DAB1"
"2667","chr1_58809677_58810078","DAB1"
"2668","chr1_58812506_58817227","DAB1"
"2669","chr1_58819926_58820449","DAB1"
"2670","chr1_58833296_58833297","DAB1"
"2671","chr1_58841455_58841861","DAB1"
"2672","chr1_58845967_58846304","DAB1"
"2673","chr1_58854454_58855154","DAB1"
"2674","chr1_58857702_58859044","DAB1"
"2675","chr1_58861507_58861885","DAB1"
"2676","chr1_58881456_58881976","DAB1"
"2677","chr1_58882862_58886476","DAB1"
"2678","chr1_58895132_58897080","DAB1"
"2679","chr1_58898849_58900361","DAB1"
"2680","chr1_58902954_58904554","DAB1"
"2681","chr1_58919704_58920485","DAB1"
"2682","chr1_58922117_58923142","DAB1"
"2683","chr1_58932740_58933412","DAB1"
"2684","chr1_58941246_58943291","DAB1"
"2685","chr1_58943802_58944742","DAB1"
"2686","chr1_58964876_58965290","DAB1"
"2687","chr1_58966391_58966417","DAB1"
"2688","chr1_58967863_58969085","DAB1"
"2689","chr1_58978185_58978458","DAB1"
"2690","chr1_58979089_58979620","DAB1"
"2691","chr1_58987348_58987841","DAB1"
"2692","chr1_59004702_59005913","DAB1"
"2693","chr1_59007689_59008466","DAB1"
"2694","chr1_59013254_59013816","DAB1"
"2695","chr1_59018437_59018911","RP4-592A1.4"
"2696","chr1_59019702_59021050","RP4-592A1.4"
"2697","chr1_59044658_59045529","TACSTD2"
"2698","chr1_59125155_59125511","MYSM1"
"2699","chr1_59138516_59138649","MYSM1"
"2700","chr1_59143001_59143428","MYSM1"
"2701","chr1_59146423_59147513","MYSM1"
"2702","chr1_59150845_59151309","MYSM1"
"2703","chr1_59266215_59266996","LINC01135"
"2704","chr1_59272528_59272874","LINC01135"
"2705","chr1_59290134_59290899","LINC01135"
"2706","chr1_59291901_59293727","LINC01135"
"2707","chr1_59295928_59297973","LINC01135"
"2708","chr1_59316654_59317173","LINC01135"
"2709","chr1_59318506_59319201","LINC01135"
"2710","chr1_59333806_59333901","LINC01135"
"2711","chr1_59494360_59494473","RP4-794H19.4"
"2712","chr1_59498731_59499092","RP4-794H19.4"
"2713","chr1_59500976_59501364","RP4-794H19.4"
"2714","chr1_59506831_59507760","RP4-794H19.4"
"2715","chr1_59549793_59550580","RP11-145M4.3"
"2716","chr1_59551991_59552461","RP11-145M4.3"
"2717","chr1_59633858_59634240","RP11-470E16.1"
"2718","chr1_59813997_59815790","FGGY"
"2719","chr1_59893109_59893675","FGGY"
"2720","chr1_59926277_59927047","FGGY"
"2721","chr1_59947314_59947704","FGGY"
"2722","chr1_59971647_59971654","FGGY"
"2723","chr1_60133092_60133240","FGGY"
"2724","chr1_61017698_61018512","RP11-776H12.1"
"2725","chr1_61042680_61043822","RP11-776H12.1"
"2726","chr1_61049623_61051554","RP11-776H12.1"
"2727","chr1_61052428_61054483","RP11-776H12.1"
"2728","chr1_61056611_61058995","RP11-776H12.1"
"2729","chr1_61076371_61080358","RP11-776H12.1"
"2730","chr1_61080931_61084125","RP11-776H12.1"
"2731","chr1_61132189_61133424","RP11-436K8.1"
"2732","chr1_61139341_61139846","RP11-436K8.1"
"2733","chr1_61157542_61157957","RP11-436K8.1"
"2734","chr1_61248124_61248492","RP11-436K8.1"
"2735","chr1_61253317_61255714","RP11-436K8.1"
"2736","chr1_61403846_61404246","NFIA"
"2737","chr1_61450789_61451117","NFIA"
"2738","chr1_61452971_61454010","NFIA"
"2739","chr1_61520437_61520778","NFIA"
"2740","chr1_61588997_61589002","NFIA"
"2741","chr1_61612615_61612975","NFIA"
"2742","chr1_61641679_61642101","NFIA"
"2743","chr1_61670001_61670499","NFIA"
"2744","chr1_61724280_61725916","NFIA"
"2745","chr1_61736089_61736925","NFIA"
"2746","chr1_61741661_61743582","NFIA"
"2747","chr1_61781878_61783879","NFIA"
"2748","chr1_61852104_61852502","NFIA"
"2749","chr1_62209960_62210660","INADL"
"2750","chr1_62217649_62217756","INADL"
"2751","chr1_62271748_62272723","INADL"
"2752","chr1_62295788_62296427","INADL"
"2753","chr1_62352442_62352937","INADL"
"2754","chr1_62356390_62356910","INADL"
"2755","chr1_62407418_62407791","INADL"
"2756","chr1_62434583_62438598","INADL"
"2757","chr1_62514768_62515375","INADL"
"2758","chr1_62528035_62528385","INADL"
"2759","chr1_62676611_62676987","L1TD1"
"2760","chr1_62716378_62716699","KANK4"
"2761","chr1_62722680_62723345","KANK4"
"2762","chr1_62740716_62741048","KANK4"
"2763","chr1_62746537_62746883","KANK4"
"2764","chr1_62759240_62759895","KANK4"
"2765","chr1_62775358_62775375","KANK4"
"2766","chr1_62783197_62785101","KANK4"
"2767","chr1_63316722_63317897","ATG4C"
"2768","chr1_63319499_63324758","ATG4C"
"2769","chr1_63327495_63328113","ATG4C"
"2770","chr1_63329465_63330538","ATG4C"
"2771","chr1_63366923_63368592","RP4-771M4.3"
"2772","chr1_63615741_63616229","RP11-335E6.2"
"2773","chr1_63773710_63774197","LINC00466"
"2774","chr1_63828393_63828676","RP4-792G4.3"
"2775","chr1_63891030_63891555","ALG6"
"2776","chr1_63892741_63893511","ALG6"
"2777","chr1_64019851_64020201","ITGB3BP"
"2778","chr1_64243036_64243076","ROR1"
"2779","chr1_64269065_64269461","ROR1"
"2780","chr1_64320362_64320918","ROR1"
"2781","chr1_64469619_64471680","ROR1"
"2782","chr1_64499947_64500348","ROR1"
"2783","chr1_64505089_64506754","ROR1"
"2784","chr1_64510990_64511484","ROR1"
"2785","chr1_64512066_64512779","ROR1"
"2786","chr1_64515461_64515771","ROR1"
"2787","chr1_64527161_64527608","ROR1"
"2788","chr1_64540126_64540900","ROR1"
"2789","chr1_64545047_64545681","ROR1"
"2790","chr1_64550403_64551021","ROR1"
"2791","chr1_64630644_64630780","ROR1"
"2792","chr1_64686765_64688276","UBE2U"
"2793","chr1_64849369_64850592","RNU7-62P"
"2794","chr1_64851858_64852228","RNU7-62P"
"2795","chr1_64932940_64935211","CACHD1"
"2796","chr1_64939567_64940547","CACHD1"
"2797","chr1_64941684_64941813","CACHD1"
"2798","chr1_64947161_64947339","CACHD1"
"2799","chr1_64949043_64950789","CACHD1"
"2800","chr1_64952091_64952448","CACHD1"
"2801","chr1_64953276_64953657","CACHD1"
"2802","chr1_64955075_64958113","CACHD1"
"2803","chr1_64959927_64968060","CACHD1"
"2804","chr1_64987220_64988067","CACHD1"
"2805","chr1_65000971_65003958","CACHD1"
"2806","chr1_65008642_65010481","CACHD1"
"2807","chr1_65012028_65012343","CACHD1"
"2808","chr1_65040938_65041900","CACHD1"
"2809","chr1_65049676_65050633","CACHD1"
"2810","chr1_65055683_65057003","CACHD1"
"2811","chr1_65059896_65060368","CACHD1"
"2812","chr1_65063066_65063443","CACHD1"
"2813","chr1_65064560_65069722","CACHD1"
"2814","chr1_65075110_65076047","CACHD1"
"2815","chr1_65080063_65080077","CACHD1"
"2816","chr1_65084338_65084423","CACHD1"
"2817","chr1_65096926_65097740","CACHD1"
"2818","chr1_65147168_65149570","CACHD1"
"2819","chr1_65208673_65209558","RAVER2"
"2820","chr1_65215548_65216114","RAVER2"
"2821","chr1_65248851_65250185","RAVER2"
"2822","chr1_65253863_65255501","RAVER2"
"2823","chr1_65264433_65264829","RAVER2"
"2824","chr1_65265500_65266378","RAVER2"
"2825","chr1_65309783_65310101","JAK1"
"2826","chr1_65395944_65396253","JAK1"
"2827","chr1_65419341_65422265","JAK1"
"2828","chr1_65423930_65424286","JAK1"
"2829","chr1_65687641_65688148","AK4"
"2830","chr1_65765681_65766005","DNAJC6"
"2831","chr1_65791298_65793870","DNAJC6"
"2832","chr1_65811817_65812701","DNAJC6"
"2833","chr1_65820986_65821850","DNAJC6"
"2834","chr1_65845692_65845941","DNAJC6"
"2835","chr1_65958775_65959287","LEPR"
"2836","chr1_66012397_66012753","LEPR"
"2837","chr1_66091022_66091465","LEPR"
"2838","chr1_66261392_66261748","PDE4B"
"2839","chr1_66265877_66266245","PDE4B"
"2840","chr1_66270401_66272442","PDE4B"
"2841","chr1_66274549_66276830","PDE4B"
"2842","chr1_66278084_66278972","PDE4B"
"2843","chr1_66281820_66283072","PDE4B"
"2844","chr1_66283676_66284126","PDE4B"
"2845","chr1_66285592_66286000","PDE4B"
"2846","chr1_66295774_66296812","PDE4B"
"2847","chr1_66300508_66301701","PDE4B"
"2848","chr1_66302694_66303394","PDE4B"
"2849","chr1_66315580_66316076","PDE4B"
"2850","chr1_66316635_66317577","PDE4B"
"2851","chr1_66322553_66322781","PDE4B"
"2852","chr1_66327516_66338593","PDE4B"
"2853","chr1_66339827_66340471","PDE4B"
"2854","chr1_66341459_66343444","PDE4B"
"2855","chr1_66345877_66346172","PDE4B"
"2856","chr1_66346743_66347281","PDE4B"
"2857","chr1_66347855_66348150","PDE4B"
"2858","chr1_66349264_66352759","PDE4B"
"2859","chr1_66357087_66358192","PDE4B"
"2860","chr1_66360341_66360542","PDE4B"
"2861","chr1_66367361_66367985","PDE4B"
"2862","chr1_66370279_66371649","PDE4B"
"2863","chr1_66372257_66376594","PDE4B"
"2864","chr1_66380004_66381793","PDE4B"
"2865","chr1_66383179_66384075","PDE4B"
"2866","chr1_66393431_66394387","PDE4B"
"2867","chr1_66395032_66397678","PDE4B"
"2868","chr1_66401967_66402681","PDE4B"
"2869","chr1_66411301_66411807","PDE4B"
"2870","chr1_66415422_66416959","PDE4B"
"2871","chr1_66420183_66420654","PDE4B"
"2872","chr1_66426268_66426666","PDE4B"
"2873","chr1_66436331_66437117","PDE4B"
"2874","chr1_66438352_66439744","PDE4B"
"2875","chr1_66445217_66447003","PDE4B"
"2876","chr1_66533099_66534265","PDE4B"
"2877","chr1_66564182_66564784","PDE4B"
"2878","chr1_66648853_66649471","PDE4B"
"2879","chr1_66725917_66726421","PDE4B"
"2880","chr1_66729086_66729516","PDE4B"
"2881","chr1_66732703_66733209","PDE4B"
"2882","chr1_66751987_66752994","PDE4B"
"2883","chr1_66758156_66758499","PDE4B"
"2884","chr1_66761219_66761625","PDE4B"
"2885","chr1_66764982_66765386","PDE4B"
"2886","chr1_66769494_66770120","PDE4B"
"2887","chr1_66788524_66788892","PDE4B"
"2888","chr1_67052642_67055033","SGIP1"
"2889","chr1_67110392_67110701","SGIP1"
"2890","chr1_67112452_67112863","SGIP1"
"2891","chr1_67134582_67135241","SGIP1"
"2892","chr1_67142641_67143523","SGIP1"
"2893","chr1_67144742_67145122","SGIP1"
"2894","chr1_67148774_67149588","SGIP1"
"2895","chr1_67166210_67166589","SGIP1"
"2896","chr1_67170607_67172499","SGIP1"
"2897","chr1_67194050_67195333","SGIP1"
"2898","chr1_67211582_67212504","SGIP1"
"2899","chr1_67226519_67227137","TCTEX1D1"
"2900","chr1_67233997_67234331","TCTEX1D1"
"2901","chr1_67264919_67265283","INSL5"
"2902","chr1_67307098_67308489","WDR78"
"2903","chr1_67312663_67312984","WDR78"
"2904","chr1_67314779_67314926","WDR78"
"2905","chr1_67332743_67333637","WDR78"
"2906","chr1_67336204_67337313","WDR78"
"2907","chr1_67338615_67339054","WDR78"
"2908","chr1_67342264_67342629","WDR78"
"2909","chr1_67427304_67427665","MIER1"
"2910","chr1_67428500_67432116","MIER1"
"2911","chr1_67433589_67434385","MIER1"
"2912","chr1_67436838_67436938","MIER1"
"2913","chr1_67441261_67441596","MIER1"
"2914","chr1_67500322_67500933","SLC35D1"
"2915","chr1_67560782_67562064","C1orf141"
"2916","chr1_67635231_67635750","C1orf141"
"2917","chr1_67674102_67675318","C1orf141"
"2918","chr1_67682826_67682867","C1orf141"
"2919","chr1_67683371_67687139","C1orf141"
"2920","chr1_67688689_67689269","C1orf141"
"2921","chr1_67833347_67833481","IL12RB2"
"2922","chr1_68214003_68214061","GNG12"
"2923","chr1_68229063_68229312","GNG12"
"2924","chr1_68231043_68232847","GNG12"
"2925","chr1_68245641_68245939","GNG12"
"2926","chr1_68255308_68255709","GNG12"
"2927","chr1_68270758_68271464","GNG12"
"2928","chr1_68278297_68278535","GNG12"
"2929","chr1_68338038_68338531","GNG12-AS1"
"2930","chr1_68339486_68339894","GNG12-AS1"
"2931","chr1_68342815_68342874","GNG12-AS1"
"2932","chr1_68347231_68347884","GNG12-AS1"
"2933","chr1_68358404_68358795","GNG12-AS1"
"2934","chr1_68361337_68361782","GNG12-AS1"
"2935","chr1_68384467_68384468","GNG12-AS1"
"2936","chr1_68429326_68429885","GNG12-AS1"
"2937","chr1_68443063_68443428","GNG12-AS1"
"2938","chr1_68496260_68497749","GNG12-AS1"
"2939","chr1_69567071_69568083","RP11-424D14.1"
"2940","chr1_69648526_69648920","RP11-424D14.1"
"2941","chr1_70132927_70133328","LRRC7"
"2942","chr1_70202431_70202726","LRRC7"
"2943","chr1_70204724_70206517","LRRC7"
"2944","chr1_70207864_70208814","LRRC7"
"2945","chr1_70210385_70210576","LRRC7"
"2946","chr1_70219717_70222355","LRRC7"
"2947","chr1_70223393_70223577","LRRC7"
"2948","chr1_70227449_70227905","LRRC7"
"2949","chr1_70353415_70356587","LRRC7"
"2950","chr1_70410185_70413124","LRRC7"
"2951","chr1_70510069_70510470","LRRC7"
"2952","chr1_70685339_70685659","SRSF11"
"2953","chr1_70818498_70818759","ANKRD13C"
"2954","chr1_71413921_71414532","PTGER3"
"2955","chr1_71861061_71861373","ZRANB2-AS2"
"2956","chr1_71882473_71882530","ZRANB2-AS2"
"2957","chr1_72281087_72285474","NEGR1"
"2958","chr1_72288865_72289444","NEGR1"
"2959","chr1_72366388_72366903","NEGR1"
"2960","chr1_72623278_72623648","NEGR1"
"2961","chr1_72635625_72636363","NEGR1"
"2962","chr1_74579478_74579777","LRRIQ3"
"2963","chr1_74732271_74734295","FPGT-TNNI3K"
"2964","chr1_75614741_75615057","LHX8"
"2965","chr1_75615789_75616222","LHX8"
"2966","chr1_75723930_75725283","SLC44A5"
"2967","chr1_75726808_75727255","SLC44A5"
"2968","chr1_75745155_75745851","SLC44A5"
"2969","chr1_75784268_75787959","SLC44A5"
"2970","chr1_75790816_75790854","SLC44A5"
"2971","chr1_75795659_75796060","SLC44A5"
"2972","chr1_75991507_75991958","SLC44A5"
"2973","chr1_76023588_76024154","SLC44A5"
"2974","chr1_76027545_76027663","SLC44A5"
"2975","chr1_76029361_76029749","SLC44A5"
"2976","chr1_76053043_76053291","SLC44A5"
"2977","chr1_76073982_76076615","SLC44A5"
"2978","chr1_76219150_76219779","ACADM"
"2979","chr1_76254195_76255040","RABGGTB"
"2980","chr1_76256221_76256899","RABGGTB"
"2981","chr1_76260256_76260810","RABGGTB"
"2982","chr1_76267444_76268498","MSH4"
"2983","chr1_76269162_76269574","MSH4"
"2984","chr1_76270199_76271253","MSH4"
"2985","chr1_76285039_76286250","MSH4"
"2986","chr1_76288727_76290979","MSH4"
"2987","chr1_76292378_76292786","MSH4"
"2988","chr1_76294343_76295489","MSH4"
"2989","chr1_76299325_76299398","MSH4"
"2990","chr1_76300407_76301052","MSH4"
"2991","chr1_76330977_76331397","MSH4"
"2992","chr1_76868119_76868645","ST6GALNAC3"
"2993","chr1_76906237_76906594","ST6GALNAC3"
"2994","chr1_77048270_77048739","ST6GALNAC3"
"2995","chr1_77060075_77060126","ST6GALNAC3"
"2996","chr1_77218646_77220059","RNU6-161P"
"2997","chr1_77238569_77238747","RP11-415A20.1"
"2998","chr1_77350383_77350624","ST6GALNAC5"
"2999","chr1_77379141_77379388","ST6GALNAC5"
"3000","chr1_77388613_77389152","ST6GALNAC5"
"3001","chr1_77412060_77414280","ST6GALNAC5"
"3002","chr1_77415411_77416191","ST6GALNAC5"
"3003","chr1_77421437_77422115","ST6GALNAC5"
"3004","chr1_77430672_77432282","ST6GALNAC5"
"3005","chr1_77434953_77435451","ST6GALNAC5"
"3006","chr1_77438514_77438721","ST6GALNAC5"
"3007","chr1_77475659_77477034","ST6GALNAC5"
"3008","chr1_77482656_77483165","ST6GALNAC5"
"3009","chr1_77496973_77497398","ST6GALNAC5"
"3010","chr1_77504980_77505403","ST6GALNAC5"
"3011","chr1_77533300_77534902","RP4-564M11.2"
"3012","chr1_77590685_77590784","PIGK"
"3013","chr1_77681420_77684246","PIGK"
"3014","chr1_77748673_77748807","AK5"
"3015","chr1_77758745_77760343","AK5"
"3016","chr1_77762016_77762289","AK5"
"3017","chr1_77779018_77780406","AK5"
"3018","chr1_77825039_77825745","AK5"
"3019","chr1_77847586_77847990","AK5"
"3020","chr1_77888174_77889386","AK5"
"3021","chr1_77906074_77906172","AK5"
"3022","chr1_77926480_77928030","AK5"
"3023","chr1_77950840_77951234","AK5"
"3024","chr1_77959757_77960401","AK5"
"3025","chr1_77971742_77974484","AK5"
"3026","chr1_77975075_77980661","AK5"
"3027","chr1_78003227_78006330","AK5"
"3028","chr1_78045537_78046619","ZZZ3"
"3029","chr1_78114284_78114825","ZZZ3"
"3030","chr1_78142905_78143614","ZZZ3"
"3031","chr1_78145069_78145431","ZZZ3"
"3032","chr1_78911926_78912349","PTGFR"
"3033","chr1_82161851_82161884","LPHN2"
"3034","chr1_82225265_82226277","LPHN2"
"3035","chr1_82227745_82228074","LPHN2"
"3036","chr1_83508142_83509074","RP4-601K24.1"
"3037","chr1_84077256_84079050","RP11-475O6.1"
"3038","chr1_84090105_84091470","RP11-475O6.1"
"3039","chr1_84103428_84103711","RP11-475O6.1"
"3040","chr1_84122836_84123194","RP11-475O6.1"
"3041","chr1_84141167_84141637","RP11-475O6.1"
"3042","chr1_84143772_84145675","RP11-475O6.1"
"3043","chr1_84146361_84146775","RP11-475O6.1"
"3044","chr1_84147910_84148276","RP11-475O6.1"
"3045","chr1_84152450_84153131","RP11-475O6.1"
"3046","chr1_84156178_84156774","RP11-475O6.1"
"3047","chr1_84159509_84160026","RP11-475O6.1"
"3048","chr1_84163386_84163461","RP11-475O6.1"
"3049","chr1_84164463_84164911","RP11-475O6.1"
"3050","chr1_84165864_84165903","RP11-475O6.1"
"3051","chr1_84166898_84166945","RP11-475O6.1"
"3052","chr1_84225668_84225830","RP11-475O6.1"
"3053","chr1_84271334_84272016","RP11-475O6.1"
"3054","chr1_84298108_84299740","RP11-475O6.1"
"3055","chr1_84301251_84303546","RP11-475O6.1"
"3056","chr1_84365702_84366138","TTLL7"
"3057","chr1_84379328_84379717","TTLL7"
"3058","chr1_84388776_84389296","TTLL7"
"3059","chr1_84390300_84390490","TTLL7"
"3060","chr1_84403354_84403747","TTLL7"
"3061","chr1_84425146_84426040","TTLL7"
"3062","chr1_84430576_84430823","TTLL7"
"3063","chr1_84433216_84438115","TTLL7"
"3064","chr1_84442094_84443900","TTLL7"
"3065","chr1_84450811_84451342","TTLL7"
"3066","chr1_84452397_84452858","TTLL7"
"3067","chr1_84459968_84460584","TTLL7"
"3068","chr1_84462283_84462441","TTLL7"
"3069","chr1_84572542_84575283","PRKACB"
"3070","chr1_84583185_84583611","PRKACB"
"3071","chr1_84611602_84612295","PRKACB"
"3072","chr1_84619395_84619708","PRKACB"
"3073","chr1_84620374_84621470","PRKACB"
"3074","chr1_84688618_84691629","PRKACB"
"3075","chr1_84692618_84693901","PRKACB"
"3076","chr1_84699609_84700553","PRKACB"
"3077","chr1_84772136_84772934","SAMD13"
"3078","chr1_84779793_84780509","SAMD13"
"3079","chr1_84782139_84782902","SAMD13"
"3080","chr1_84796237_84796299","SAMD13"
"3081","chr1_84847212_84848041","SAMD13"
"3082","chr1_84853558_84855138","SAMD13"
"3083","chr1_84861451_84861939","UOX"
"3084","chr1_84862520_84863677","UOX"
"3085","chr1_84876310_84876735","DNASE2B"
"3086","chr1_84944422_84946339","RPF1"
"3087","chr1_84959440_84959624","RPF1"
"3088","chr1_84972060_84972683","GNG5"
"3089","chr1_84973561_84974146","GNG5"
"3090","chr1_84988582_84989110","SPATA1"
"3091","chr1_84991461_84992011","SPATA1"
"3092","chr1_84995398_84999371","SPATA1"
"3093","chr1_85005632_85006091","SPATA1"
"3094","chr1_85027133_85028153","SPATA1"
"3095","chr1_85109391_85109792","SSX2IP"
"3096","chr1_85258569_85260363","AC104169.1"
"3097","chr1_85274754_85279929","LPAR3"
"3098","chr1_85290000_85290351","LPAR3"
"3099","chr1_85297849_85298785","LPAR3"
"3100","chr1_85308066_85308587","LPAR3"
"3101","chr1_85334950_85335337","LPAR3"
"3102","chr1_85464402_85465305","MCOLN2"
"3103","chr1_85576727_85577310","WDR63"
"3104","chr1_86137267_86138070","ZNHIT6"
"3105","chr1_86155064_86157137","ZNHIT6"
"3106","chr1_86158146_86158150","ZNHIT6"
"3107","chr1_86324161_86324463","COL24A1"
"3108","chr1_86339282_86339866","COL24A1"
"3109","chr1_86365836_86366317","COL24A1"
"3110","chr1_86380209_86380751","COL24A1"
"3111","chr1_86382862_86383358","COL24A1"
"3112","chr1_86389103_86390120","COL24A1"
"3113","chr1_86390677_86390960","COL24A1"
"3114","chr1_86394697_86397520","COL24A1"
"3115","chr1_86419238_86419879","COL24A1"
"3116","chr1_86429368_86430477","COL24A1"
"3117","chr1_86441499_86442006","COL24A1"
"3118","chr1_86460899_86461481","COL24A1"
"3119","chr1_86474058_86474459","COL24A1"
"3120","chr1_86499919_86500424","COL24A1"
"3121","chr1_86502043_86504288","COL24A1"
"3122","chr1_86508030_86508310","COL24A1"
"3123","chr1_86616784_86617417","COL24A1"
"3124","chr1_86822484_86822847","ODF2L"
"3125","chr1_86833371_86834031","ODF2L"
"3126","chr1_86846373_86846385","ODF2L"
"3127","chr1_86912613_86916199","CLCA2"
"3128","chr1_86933767_86933974","CLCA1"
"3129","chr1_87044534_87046480","CLCA4"
"3130","chr1_87057619_87058244","RP4-651E10.4"
"3131","chr1_87061923_87061962","RP4-651E10.4"
"3132","chr1_87084248_87084713","RP4-651E10.4"
"3133","chr1_87131662_87132712","RP4-651E10.4"
"3134","chr1_87147238_87147627","RP4-651E10.4"
"3135","chr1_87148602_87149089","RP4-651E10.4"
"3136","chr1_87149701_87149919","RP4-651E10.4"
"3137","chr1_87151421_87152411","RP4-651E10.4"
"3138","chr1_87176054_87176899","SH3GLB1"
"3139","chr1_87180066_87180473","SH3GLB1"
"3140","chr1_87327708_87332519","SEP15"
"3141","chr1_87333594_87335944","SEP15"
"3142","chr1_87336877_87336917","SEP15"
"3143","chr1_87404305_87404711","HS2ST1"
"3144","chr1_87423431_87424470","HS2ST1"
"3145","chr1_87449325_87450067","HS2ST1"
"3146","chr1_87587660_87587746","HS2ST1"
"3147","chr1_87588448_87588822","HS2ST1"
"3148","chr1_87812988_87813252","LMO4"
"3149","chr1_87826551_87827125","RP4-544H6.2"
"3150","chr1_87830356_87830992","RP4-544H6.2"
"3151","chr1_89020003_89020413","RP11-76N22.2"
"3152","chr1_89021322_89023466","RP11-76N22.2"
"3153","chr1_89028972_89029468","RP11-76N22.2"
"3154","chr1_89033887_89034491","RP11-76N22.2"
"3155","chr1_89037101_89037594","RP11-76N22.2"
"3156","chr1_89041168_89041636","RP11-76N22.2"
"3157","chr1_89046809_89047124","RP11-76N22.2"
"3158","chr1_89049725_89050966","RP11-76N22.2"
"3159","chr1_89062948_89063279","RP11-76N22.2"
